Opening	UCI_moves	move_index	prob	prob_trimmed	white_wins	draws	black_wins	white_win_prob	draw_prob	black_win_prob	san	fen	cluster_idx
A40: Mikenas Defense: Lithuanian Variation	d2d4,e7e5,c2c4,b8c6,d4d5,c6e7	6	0.0276967507960914	0.103564317598582	54676	4696	75283	0.4060450781627121	0.0348743084178084	0.5590806134194795	1. d4 e5 2. c4 Nc6 3. d5 Nce7	r1bqkbnr/ppppnppp/8/3Pp3/2P5/8/PP2PPPP/RNBQKBNR w KQkq - 1 4	24
B01: Scandinavian Defense: Blackburne-Kloosterboer Gambit	e2e4,d7d5,e4d5,c7c6,d5c6,e7e6,c6b7,c8b7,g1f3,b8d7	10	0.0711223204541049	0.131499245718571	292	18	393	0.4153627311522048	0.0256045519203413	0.5590327169274538	1. e4 d5 2. exd5 c6 3. dxc6 e6 4. cxb7 Bxb7 5. Nf3 Nd7	r2qkbnr/pb1n1ppp/4p3/8/8/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 6	25
B01: Scandinavian Defense: Mieses-Kotroc Variation	e2e4,d7d5,e4d5,d8d5,b1c3,d5e6,f1e2,b8c6,g1f3,h7h5,e1h1,h5h4	12	0.0581995573030104	0.1076061331750166	1268	80	1708	0.4149214659685863	0.0261780104712041	0.5589005235602095	1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe6+ 4. Be2 Nc6 5. Nf3 h5 6. O-O h4	r1b1kbnr/ppp1ppp1/2n1q3/8/7p/2N2N2/PPPPBPPP/R1BQ1RK1 w kq - 0 7	26
A40: Englund Gambit	d2d4,e7e5,d4e5,f8c5,g1f3,f7f6,e5f6,c5f2	8	0.0401157179550502	0.1500016007501589	408	25	548	0.4159021406727828	0.0254841997961264	0.5586136595310908	1. d4 e5 2. dxe5 Bc5 3. Nf3 f6 4. exf6 Bxf2+	rnbqk1nr/pppp2pp/5P2/8/8/5N2/PPP1PbPP/RNBQKB1R w KQkq - 0 5	27
B03: Alekhine Defense: O'Sullivan Gambit	e2e4,g8f6,e4e5,f6d5,d2d4,b7b5,f1b5,c7c5	8	0.0647816111037912	0.1197758023387252	5353	428	7229	0.4114527286702537	0.0328977709454266	0.5556495003843197	1. e4 Nf6 2. e5 Nd5 3. d4 b5 4. Bxb5 c5	rnbqkb1r/p2ppppp/8/1BpnP3/3P4/8/PPP2PPP/RNBQK1NR w KQkq - 0 5	28
A40: Queen's Pawn Game: Anglo-Slav Opening	d2d4,c7c6,c2c4,d7d6,b1c3,b8d7,e2e4,a7a5	8	0.0397474918479861	0.1486247213544194	950	98	1308	0.4032258064516129	0.0415959252971137	0.5551782682512734	1. d4 c6 2. c4 d6 3. Nc3 Nd7 4. e4 a5	r1bqkbnr/1p1npppp/2pp4/p7/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 5	29
A41: Old Indian Defense	d2d4,d7d6,c2c4,b8d7,b1c3,c7c6,e2e4,a7a5	8	0.0391327349288896	0.1463260083651607	950	98	1308	0.4032258064516129	0.0415959252971137	0.5551782682512734	1. d4 d6 2. c4 Nd7 3. Nc3 c6 4. e4 a5	r1bqkbnr/1p1npppp/2pp4/p7/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 5	29
A40: Queen's Pawn Game: Anglo-Slav Opening	d2d4,d7d6,c2c4,c7c6,b1c3,b8d7,e2e4,a7a5	8	0.0377731576359218	0.1412422461720656	950	98	1308	0.4032258064516129	0.0415959252971137	0.5551782682512734	1. d4 d6 2. c4 c6 3. Nc3 Nd7 4. e4 a5	r1bqkbnr/1p1npppp/2pp4/p7/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 5	29
B28: Sicilian Defense: O'Kelly Variation, Normal System	e2e4,c7c5,g1f3,a7a6,d2d4,c5d4,f3d4,g8f6,b1c3,d8c7	10	0.1076392917766893	0.1990160836702409	2077	229	2874	0.400965250965251	0.0442084942084942	0.5548262548262548	1. e4 c5 2. Nf3 a6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 Qc7	rnb1kb1r/1pqppppp/p4n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 3 6	30
B27: Sicilian Defense: Quinteros Variation	e2e4,c7c5,g1f3,d8c7,d2d4,c5d4,f3d4,g8f6,b1c3,a7a6	10	0.1020580716787035	0.1886968726491655	2077	229	2874	0.400965250965251	0.0442084942084942	0.5548262548262548	1. e4 c5 2. Nf3 Qc7 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6	rnb1kb1r/1pqppppp/p4n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 6	30
B28: Sicilian Defense: O'Kelly Variation, Normal System	e2e4,c7c5,g1f3,a7a6,d2d4,c5d4,f3d4,d8c7,b1c3,g8f6	10	0.0908793289321366	0.1680283085490377	2077	229	2874	0.400965250965251	0.0442084942084942	0.5548262548262548	1. e4 c5 2. Nf3 a6 3. d4 cxd4 4. Nxd4 Qc7 5. Nc3 Nf6	rnb1kb1r/1pqppppp/p4n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 3 6	30
B27: Sicilian Defense: Quinteros Variation	e2e4,c7c5,g1f3,d8c7,d2d4,c5d4,f3d4,a7a6,b1c3,g8f6	10	0.0805349735621341	0.1489024572000514	2077	229	2874	0.400965250965251	0.0442084942084942	0.5548262548262548	1. e4 c5 2. Nf3 Qc7 3. d4 cxd4 4. Nxd4 a6 5. Nc3 Nf6	rnb1kb1r/1pqppppp/p4n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 2 6	30
E61: King's Indian Defense	d2d4,g8f6,c2c4,g7g6,b1c3,f6g4	6	0.0944571682009685	0.3531963817361658	383	15	494	0.429372197309417	0.0168161434977578	0.5538116591928252	1. d4 Nf6 2. c4 g6 3. Nc3 Ng4	rnbqkb1r/pppppp1p/6p1/8/2PP2n1/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4	31
E61: King's Indian Defense	d2d4,g7g6,c2c4,g8f6,b1c3,f6g4	6	0.0785351652037447	0.2936604676735404	383	15	494	0.429372197309417	0.0168161434977578	0.5538116591928252	1. d4 g6 2. c4 Nf6 3. Nc3 Ng4	rnbqkb1r/pppppp1p/6p1/8/2PP2n1/2N5/PP2PPPP/R1BQKBNR w KQkq - 3 4	31
B02: Alekhine Defense: Scandinavian Variation	e2e4,g8f6,b1c3,d7d5,e4e5,c8g4	6	0.06293409041073	0.1163598904838277	1403	108	1874	0.4144756277695716	0.0319054652880354	0.5536189069423929	1. e4 Nf6 2. Nc3 d5 3. e5 Bg4	rn1qkb1r/ppp1pppp/5n2/3pP3/6b1/2N5/PPPP1PPP/R1BQKBNR w KQkq - 1 4	32
A43: Benoni Defense: Old Benoni	d2d4,c7c5,d4d5,g7g6,c2c4,f8g7,b1c3,g7c3,b2c3,e7e5	10	0.0324627801348144	0.1213855623992289	357	32	481	0.4103448275862069	0.0367816091954023	0.5528735632183908	1. d4 c5 2. d5 g6 3. c4 Bg7 4. Nc3 Bxc3+ 5. bxc3 e5	rnbqk1nr/pp1p1p1p/6p1/2pPp3/2P5/2P5/P3PPPP/R1BQKBNR w KQkq e6 0 6	33
A40: Queen's Pawn Game: Modern Defense	d2d4,g7g6,c2c4,c7c5,d4d5,f8g7,b1c3,g7c3,b2c3,e7e5	10	0.0307797917877985	0.1150924942711923	357	32	481	0.4103448275862069	0.0367816091954023	0.5528735632183908	1. d4 g6 2. c4 c5 3. d5 Bg7 4. Nc3 Bxc3+ 5. bxc3 e5	rnbqk1nr/pp1p1p1p/6p1/2pPp3/2P5/2P5/P3PPPP/R1BQKBNR w KQkq e6 0 6	33
A40: Queen's Pawn Game: Modern Defense	d2d4,g7g6,c2c4,f8g7,b1c3,c7c5,d4d5,g7c3,b2c3,e7e5	10	0.0300841985448525	0.1124915162697561	357	32	481	0.4103448275862069	0.0367816091954023	0.5528735632183908	1. d4 g6 2. c4 Bg7 3. Nc3 c5 4. d5 Bxc3+ 5. bxc3 e5	rnbqk1nr/pp1p1p1p/6p1/2pPp3/2P5/2P5/P3PPPP/R1BQKBNR w KQkq e6 0 6	33
B01: Scandinavian Defense: Blackburne-Kloosterboer Gambit	e2e4,d7d5,e4d5,c7c6,d5c6,a7a6,c6b7,c8b7,g1f3,g8f6	10	0.0958443373065331	0.1772081954263344	1455	121	1948	0.412883087400681	0.0343359818388195	0.5527809307604994	1. e4 d5 2. exd5 c6 3. dxc6 a6 4. cxb7 Bxb7 5. Nf3 Nf6	rn1qkb1r/1b2pppp/p4n2/8/8/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 6	34
B01: Scandinavian Defense: Blackburne-Kloosterboer Gambit	e2e4,d7d5,e4d5,c7c6,d5c6,g8f6,c6b7,c8b7,g1f3,a7a6	10	0.067756722153636	0.125276534830096	1455	121	1948	0.412883087400681	0.0343359818388195	0.5527809307604994	1. e4 d5 2. exd5 c6 3. dxc6 Nf6 4. cxb7 Bxb7 5. Nf3 a6	rn1qkb1r/1b2pppp/p4n2/8/8/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 6	34
A40: Queen's Pawn Game: Anglo-Slav Opening	d2d4,c7c6,c2c4,d7d6,b1c3,g7g6,e2e4,e7e5	8	0.038660881717464	0.1445616441547966	351	113	573	0.3384763741562198	0.1089681774349083	0.5525554484088717	1. d4 c6 2. c4 d6 3. Nc3 g6 4. e4 e5	rnbqkbnr/pp3p1p/2pp2p1/4p3/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 5	35
A41: Old Indian Defense	d2d4,d7d6,c2c4,g7g6,b1c3,c7c6,e2e4,e7e5	8	0.0378240705589775	0.1414326209265642	351	113	573	0.3384763741562198	0.1089681774349083	0.5525554484088717	1. d4 d6 2. c4 g6 3. Nc3 c6 4. e4 e5	rnbqkbnr/pp3p1p/2pp2p1/4p3/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 5	35
A40: Queen's Pawn Game	d2d4,c7c6,c2c4,g7g6,b1c3,d7d6,e2e4,e7e5	8	0.0371932440338771	0.139073820102739	351	113	573	0.3384763741562198	0.1089681774349083	0.5525554484088717	1. d4 c6 2. c4 g6 3. Nc3 d6 4. e4 e5	rnbqkbnr/pp3p1p/2pp2p1/4p3/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 5	35
A40: Queen's Pawn Game: Modern Defense	d2d4,g7g6,c2c4,d7d6,b1c3,c7c6,e2e4,e7e5	8	0.0371215036019965	0.1388055666557318	351	113	573	0.3384763741562198	0.1089681774349083	0.5525554484088717	1. d4 g6 2. c4 d6 3. Nc3 c6 4. e4 e5	rnbqkbnr/pp3p1p/2pp2p1/4p3/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 5	35
A40: Queen's Pawn Game: Anglo-Slav Opening	d2d4,d7d6,c2c4,c7c6,b1c3,g7g6,e2e4,e7e5	8	0.0367405215162396	0.1373809898156838	351	113	573	0.3384763741562198	0.1089681774349083	0.5525554484088717	1. d4 d6 2. c4 c6 3. Nc3 g6 4. e4 e5	rnbqkbnr/pp3p1p/2pp2p1/4p3/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 5	35
A40: Queen's Pawn Game: Modern Defense	d2d4,g7g6,c2c4,c7c6,b1c3,d7d6,e2e4,e7e5	8	0.0346892504324033	0.1297108305406402	351	113	573	0.3384763741562198	0.1089681774349083	0.5525554484088717	1. d4 g6 2. c4 c6 3. Nc3 d6 4. e4 e5	rnbqkbnr/pp3p1p/2pp2p1/4p3/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 5	35
B00: Nimzowitsch Defense: Declined Variation	e2e4,b8c6,g1f3,d7d5,e4d5,d8d5,b1c3,d5h5,f1e2	9	0.0541148176943085	0.1000537899152423	13135	1498	17942	0.4032233307751343	0.0459861857252494	0.5507904834996162	1. e4 Nc6 2. Nf3 d5 3. exd5 Qxd5 4. Nc3 Qh5 5. Be2	r1b1kbnr/ppp1pppp/2n5/7q/8/2N2N2/PPPPBPPP/R1BQK2R b KQkq - 3 5	36
